#,REF ID,DOI,First author,Year,Full author list,Country_clean,Location_clean,Source,Continent_clean,Type of gear used & any other characteristics of who fishes in area,Types of gear used_clean,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),Goverance type_overall_clean,*Actors_type_governance_clean,Traditional history_clean,"Start date (how long the temporary closures have been in place, approximate OK)",start_date_clean,TURF_clean,Ecosystem,Ecosystem_clean,Short type of closure (name),Short_type_of_closure_clean,Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),Governance_type_design_clean,Actors_type_design_clean,Motivation(s) for creating closure (WHY? Broad - Include objective if available),Motivations_clean,Criteria for opening closures or renewing (specific criteria - note whether for opening or re-closing),Criteria_open_clean,"Decision-making process to design, open, or change (how did they decide?)",decision_making_clean,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Size_of_closure_clean,Length of time closed (range),Length of time closed (range) - standardized to years,length_close_clean,Length of time open (range),Length of time open (range) - standardized to years,length_open_clean,% of fishing ground closed,percentage_fishing_ground_closed_clean,Number of species the closure apply to,Number of species the study focus on,number_of_species_clean,species_category_clean,Who is responsible for enforcement? How do they do it?,Enforcement_clean,Who is responsible for collecting information (e.g. monitoring the fishery) for management & how do they do it?,Information_collected_clean
ID,/,/,/,/,/,/,,,"Asia, North America, South America, Europe, Oceania, Africa",/,"nets, spears, hook and line/line fishing, gleaning, diving, traps, others",/,/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Government, Fishing industry, Others, Unknown","Yes, No, Unknown",/,Remove bins,"Yes, No, Unknown",/,"Coral reefs, Mangrove estuary, Rocky reefs, Open ocean, Other",/,"Rotational Closure, Periodic Closure, Dynamic/Triggered closure, Determinate (Expiring) Closure",/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Fishing industry, Government, Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,*numeric variable,"Small area(<1 hectare), Moderate area (1-10 hectares), Large area(10-100 hectares), Extensive Area (100+hectares up to 1000km2), Unknown",/,*numeric variable,"Weekly Closures (less than 1 month), Quarterly Closures (couple of monthes), Annual closures(1 year), Medium-term Closures(1-5 years), Long-Term Closures(5-10 years or more), Unknown",/,*numeric variable,"Daily Opening (open less than 1 week), Weekly Opening (open for couple of weeks, less than 1 month), Quarterly Opening (couple of monthes), Annual Opening(1 year), Medium-term Opening (1-5 years), Long-term Opening (Open for most of the time), Unknown",/,"Minimal Closure (<5%), Low Closure (5-20%), Moderate Closure (20-50%), High Closure (50-80%), Extreme Closure (>80%), Unknown",,/,* numeric variable or unknown,"Invertebrates, reef fish, demersal fish, pelagic fish, marine mammals/sea turtles/seabirds",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others"
1,"001-CIN-19, 002-CIN-06-B, 007-CIN-07-B, and 015-FEA-11",/,/,/,/,Papua New Guinea ,Muluk,"001-CIN-19, 002-CIN-06-B, 007-CIN-07-B, and 015-FEA-11",Oceania,/,Spears; Hook and line fishing; Nets; Gleaning,1,Villagers and 3 clan chiefs ,Bottom-up,Community leaders; Locals,Yes,2001,2001,Yes,/,Coral reefs,/,Periodic closure,/,Bottom-up,Community leaders,/,Fisheries management/Fishing income; Social,/,Social,/,Community/village led,58 ha,58,Large area,"Generally 1-2 years, could go extremely as 9 years in some sites ",2,Medium-term closures,"Not specifically mentioned, likely varies, only know 1 place opened for 2 weeks over 9 years closure period",0.04,Weekly opening,Unknown,Unknown,All,,,Reef fish,/,Community/village led,/,Community/village led
2,"013-BAR-09-A, 012-BAR-09",/,/,/,/,Vanuatu,"North Efate, PHC1","013-BAR-09-A, 012-BAR-09",Oceania,"""Fish were speared, hooked, or routed into nets""",Spears; Hook and line fishing; Nets,1,PHC goverend by multiple villages and communities with advisory support from national government departments. ,Co-management,Community leaders; Locals; Government,Yes,4 years before the study,2000-2010,Yes,Shoreline and associated fringing reefs,Coral reefs,Periodic Closure,Periodic closure,"Reserve implementation, regulation, enforcement, size, type, and location are controlled by the local community with advisory support from national government departments",Co-management,Locals; Government,"""Communities declare marine closures more often for resource conservation than for utilitarian purposes""",Ecosystem/Conservation,Resources harvested from periodic openings were used for village subsistence or celebration not for commercial enterprise.,Social,"""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments. The size of marine reserves depends principally on the tenured reef available to a village. """,Collaboration community-government,0.13 km2,13,Large area,At the maximum twice per year,0.5,Quarterly closures,1 day,0.003,Daily opening,30%,Moderate closure,All,"Multiple, the author focuses on 6 vulnerable reef fish families and 5 less vulnerable reef fish families, 1 giant clam",12,Reef fish,"Local communities enforce the closures through customary marine tenure.(""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments"")",Collaboration community-government,"Not stated, but assume local community and national government ",Collaboration community-government
3,"013-BAR-09-B, 012-BAR-09",/,/,/,/,Vanuatu,"North Efate, PHC2","013-BAR-09-B, 012-BAR-09",Oceania,"""Fish were speared, hooked, or routed into nets""",Spears; Hook and line fishing; Nets,1,PHC goverend by multiple villages and communities with advisory support from national government departments. ,Co-management,Community leaders; Locals; Government,Yes,6 years before the study,2000-2010,Yes,Shoreline and associated fringing reefs,Coral reefs,Periodic Closure,Periodic closure,"Reserve implementation, regulation, enforcement, size, type, and location are controlled by the local community with advisory support from national government departments",Co-management,Locals; Government,"""Communities declare marine closures more often for resource conservation than for utilitarian purposes""",Ecosystem/Conservation,Resources harvested from periodic openings were used for village subsistence or celebration not for commercial enterprise.,Social,"""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments. The size of marine reserves depends principally on the tenured reef available to a village. """,Collaboration community-government,0.08 km2,8,Moderate area,At the maximum twice per year,0.5,Quarterly closures,1 day,0.003,Daily opening,41.20%,Moderate closure,All,"Multiple, the author focuses on 6 vulnerable reef fish families and 5 less vulnerable reef fish families, 1 giant clam",12,Reef fish,"Local communities enforce the closures through customary marine tenure.(""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments"")",Collaboration community-government,"Not stated, but assume local community and national government ",Collaboration community-government
4,"013-BAR-09-C, 012-BAR-09",/,/,/,/,Vanuatu,"North Efate, PHC3","013-BAR-09-C, 012-BAR-09",Oceania,"""Fish were speared, hooked, or routed into nets""",Spears; Hook and line fishing; Nets,1,PHC goverend by multiple villages and communities with advisory support from national government departments. ,Co-management,Community leaders; Locals; Government,Yes,4 years before the study,2000-2010,Yes,Shoreline and associated fringing reefs,Coral reefs,Periodic Closure,Periodic closure,"Reserve implementation, regulation, enforcement, size, type, and location are controlled by the local community with advisory support from national government departments",Co-management,Locals; Government,"""Communities declare marine closures more often for resource conservation than for utilitarian purposes""",Ecosystem/Conservation,Resources harvested from periodic openings were used for village subsistence or celebration not for commercial enterprise.,Social,"""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments. The size of marine reserves depends principally on the tenured reef available to a village. """,Collaboration community-government,0.21 km2,21,Large area,At the maximum twice per year,0.5,Quarterly closures,1 day,0.003,Daily opening,35%,Moderate closure,All,"Multiple, the author focuses on 6 vulnerable reef fish families and 5 less vulnerable reef fish families, 1 giant clam",12,Reef fish,"Local communities enforce the closures through customary marine tenure.(""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments"")",Collaboration community-government,"Not stated, but assume local community and national government ",Collaboration community-government
5,"013-BAR-09-D, 012-BAR-09",/,/,/,/,Vanuatu,"North Efate, PHC4","013-BAR-09-D, 012-BAR-09",Oceania,"""Fish were speared, hooked, or routed into nets""",Spears; Hook and line fishing; Nets,1,PHC goverend by multiple villages and communities with advisory support from national government departments. ,Co-management,Community leaders; Locals; Government,Yes,5 years before the study,2000-2010,Yes,Shoreline and associated fringing reefs,Coral reefs,Periodic Closure,Periodic closure,"Reserve implementation, regulation, enforcement, size, type, and location are controlled by the local community with advisory support from national government departments",Co-management,Locals; Government,"""Communities declare marine closures more often for resource conservation than for utilitarian purposes""",Ecosystem/Conservation,Resources harvested from periodic openings were used for village subsistence or celebration not for commercial enterprise.,Social,"""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments. The size of marine reserves depends principally on the tenured reef available to a village. """,Collaboration community-government,0.14 km2,14,Large area,At the maximum twice per year,0.5,Quarterly closures,1 day,0.003,Daily opening,38.60%,Moderate closure,All,"Multiple, the author focuses on 6 vulnerable reef fish families and 5 less vulnerable reef fish families, 1 giant clam",12,Reef fish,"Local communities enforce the closures through customary marine tenure.(""Reserve implementation, regulation enforcement, size, type, and location are controlled by the local community with advisory support from national government departments"")",Collaboration community-government,"Not stated, but assume local community and national government ",Collaboration community-government
6,"016-JUP-17-A, 009-JUP-12",/,/,/,/,Fiji,Cakaulevu,"016-JUP-17-A, 009-JUP-12",Oceania,/,Spears; Hook and line fishing,1,/,Co-management,Community leaders; Government; NGO,No,2002,2002,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,/,Social,/,Collaboration community-government,15.5km2,"1,550",Extensive area,1 year,1,Annual closures,5 weeks,0.1,Weekly opening,/,Unknown,All,"6 food reef fish families focused in 009-JUP-12, no specific mentioning of fish families in 016-JUP-17",6,Reef fish,/,Community/village led,/,/
7,"016-JUP-17-C, 045-GOE-16-E, 072-GOE-15",/,/,/,/,Fiji,Cakau Naitaga,"016-JUP-17-C, 045-GOE-16-E, 072-GOE-15",Oceania,/,Spears; Hook and line fishing; Nets,1,/,Co-management,Community leaders; Government; NGO,No,2009,2009,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,,Social,/,Collaboration community-government,2.1km2,210,Large area,1 year,1,Annual closures,7 days,0.02,Weekly opening,/,Unknown,All,"22 reef families from 072-GOE-15, more than 200 species from 045-GOE-16 (categorized into different vulnerability groups), no specific mentioning of fish families in 016-JUP-17",22,Reef fish,/,Community/village led,/,/
8,"016-JUP-17-G, 025-GOE-17-A, 022-GOE-18-A, 045-GOE-16-A",/,/,/,/,Fiji,Nakodu,"016-JUP-17-G, 025-GOE-17-A, 022-GOE-18-A, 045-GOE-16-A",Oceania,/,Spears; Hook and line; Nets,1,/,Co-management,Community leaders; Government; NGO,No,2010,2010,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,/,Social,/,Collaboration community-government,0.73 km2,73,Large area,3 years,3,Medium-term closures,4 days,0.01,Daily openning,/,Unknown,All,"3 species from 025-GOE-17, more than 200 species from 045-GOE-16 (categorized into different vulnerability groups), no specific mentioning of fish families in 016-JUP-17 and 022-GOE-18",,Reef fish,/,Community/village led,/,/
9,"016-JUP-17-H, 025-GOE-17-C, 022-GOE-18-D, 045-GOE-16-B",/,/,/,/,Fiji,Tuatua,"016-JUP-17-H, 025-GOE-17-C, 022-GOE-18-D, 045-GOE-16-B",Oceania,/,Spears; Hook and line fishing; Nets,1,/,Co-management,Community leaders; Government; NGO,No,2005,2005,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,/,Social,/,Collaboration community-government,1.34 km2,134,Extensive area,3 months,0.25,Quarterly closures,1 day,0.003,Daily opening,/,Unknown,All,"3 species from 025-GOE-17, more than 200 species from 045-GOE-16 (categorized into different vulnerability groups), no specific mentioning of fish families in 016-JUP-17 and 022-GOE-18",,Reef fish,/,Community/village led,/,/
10,"016-JUP-17-E, 025-GOE-17-D, 022-GOE-18-G, 045-GOE-16-C",/,/,/,/,Fiji,Vatinibalagi,"016-JUP-17-E, 025-GOE-17-D, 022-GOE-18-G, 045-GOE-16-C",Oceania,/,Spears; Hook and line fishing; Nets,1,/,Co-management,Community leaders; Government; NGO,No,2010,2010,Yes,/,Coral reefs,/,Periodic closure,/,Co-management,Community leaders; NGO; Government,/,Fisheries management/Fishing income; Ecosystem/Conservation,/,Social,/,Collaboration community-government,3.69km2,369,Extensive area,8 months,0.67,Quarterly closures,3 days,0.008,Daily opening,/,Unknown,All,"3 species from 025-GOE-17, more than 200 species from 045-GOE-16 (categorized into different vulnerability groups), no specific mentioning of fish families in 016-JUP-17 and 022-GOE-18",,Reef fish,/,Community/village led,/,/
