ID,REF ID,Country_clean,Continent_clean,Location,Short type of closure (name),Short_type_of_closure_clean,System Duration,Cyclicity,Access Ratio (Annual),Annual Ratio (range),Access ratio category,Primary open criteria,Case Notes,Variable Notes
1,"001-CIN-19, 002-CIN-06-B, 007-CIN-07-B, and 015-FEA-11",Papua New Guinea ,Oceania,Muluk,/,Periodic closure,Non-time bound,Cyclical,0.6,0.4 - 0.8,Medium-High,Fisheries management/Fishing income,"1-2 years closure durations, the closure could happened 2-3 times during a 10 years period, making fish ""tamer"" to catch is the main motivation behind the closure",Access ratio: times the user have access to the resources/total times
2,"013-BAR-09 (A, B, C and D), 012-BAR-09",Vanuatu,Oceania,"North Efate - PHC1, PHC2, PHC3 and PHC4",Periodic Closure,Periodic closure,Non-time bound,Cyclical,0.005,/,Extremely low,Social,Opened no more than twice during the 12 month closure period for a single day harvest event,"Access ratio category: <0.1 - Extremely low, 0.1-0.3 Low, 0.3-0.6 Medium, Above 0.6 High"
3,"016-JUP-17-A, 009-JUP-12",Fiji,Oceania,Cakaulevu,/,Periodic closure,Non-time bound,Cyclical,0.09,/,Extremely low,Social,"009-JUP-12 mentioned the closure opened for 5 weeks of a fund-raising event, so assuming 5 weeks opening over 1 year closure period. The author also mentioned the closure was established for conservation purpose (marine biodiversity) but could only be opened for social purpose. The fish harvested only for subsistance use rather than commercial purposes",Cyclicity (spatial): whether the closure area is designed/intended to be repetitively open and close in the management regime
4,"016-JUP-17-C, 045-GOE-16-E, 072-GOE-15",Fiji,Oceania,Cakau Naitaga,/,Periodic closure,Time-bound,Cyclical,0.02,/,Extremely low,Social,"Cakau Naitaga initially established as a 5-years closure since early 2009 (072-GOE-15), the harvest frequency is once per year, 072-GOE-15 mentioned the place has just been harvested for 7 days during their survey (so assume 7 days/year). The opening criteria is for major church gathering with the consent from the district high chief",Cyclicity (temporal): whether there's a designed cyclical time schedule involved in the management regime
5,"016-JUP-17-G, 025-GOE-17-A, 022-GOE-18-A, 045-GOE-16-A",Fiji,Oceania,Nakodu,/,Periodic closure,Non-time bound,Cyclical,0.01,/,Extremely low,Social,"Nakodu tabu area was established in 2010 (with no clear expiration date mentioned), harvest frequency is once/year, the harvest will last for 4 days",
6,"016-JUP-17-H, 025-GOE-17-C, 022-GOE-18-D, 045-GOE-16-B",Fiji,Oceania,Tuatua,/,Periodic closure,Non-time bound,Cyclical,0.01,/,Extremely low,Social,"Tuatua tabu area was established in 2005 (with no clear expiration date mentioned), harvest frequency is 3-4 times/year (opened every 3 months), lasts 1 day for each turn",
7,"016-JUP-17-E, 025-GOE-17-D, 022-GOE-18-G, 045-GOE-16-C",Fiji,Oceania,Nauouo ,/,Periodic closure,Non-time bound,Cyclical,0.008,/,Extremely low,Social,"Nauouo tabu area was established in 2010 (with no clear expiration date mentioned), the harvest happened once at 2011, and once at 2013 before the survey, each harvest lasts for about 3 days",
8,"022-GOE-18-F, 045-GOE-16-D",Fiji,Oceania,Natokalau,/,Periodic closure,Non-time bound,Cyclical,0.005,/,Extremely low,Social,"Natokalau village has both time-bound and non-time-bound tabu areas (WCS 2009). The time-bound tabu area, established in 2009, was originally intended to last until 2014. However, the Natokalau tabu area referenced in the article was established in 2006, meaning it is not the same as the time-bound tabu area. The harvest frequency for this area is once per year, lasting for two days.",https://fiji.wcs.org/Portals/82/Kubulau_EBM_Plan_2009_FINAL.pdf?ver=2010-03-16-232531-840
9,077-JUP-10-A; 016-JUP-17-B,Fiji,Oceania,Nakali (Kubulau LMMA),/,Periodic closure,Non-time bound,Cyclical,/,/,/,Social,"Nakali tabu area was established in 2005 (with no clear expiration date mentioned), the closure area will be harvested 3 times/year (preferably in January, June and November), with no clear mention of how long the harvest will last",
10,"020-COH-13-A, 050-COH-13-A, 065-COH-15-C",Soloman Islands,Oceania,"Community cluster 1, PHC1",/,Periodic closure,Non-time bound,Cyclical,0.05,/,Extremely low,Social,"Community cluster 1 opened for church funding 12 days in 2011, and for family financial needs of 7 days in 2011, total 19 days for 1 year (Table 1, 020-COH-13), no clear mentioning of end dates",
