REF ID,DOI,First author,Year,Full author list,Country,continent_clean,paper_number_clean,Data type,fishery_data_type_clean,closure_data_type_clean,Model type,model_type_clean,Model target,model_target_clean,model_target_type_clean,Model objective (specific),objectives_scenarios_clean,Model objective (summarized),objectives_summarized_clean,Evaluation metrics,evaluation_metrics_clean,Modeling conclusion (specific),Modeling conclusion (general),modeling_conclusion_general_cleaned
004-TAY-12,doi: 10.1371/journal.pone.0039599,Taylor B,2012,"Brett M. Taylor, Jennifer L. Mecllwin, Alexander M. Kerr",U.S. (U.S. pacific island territory of Guam),North America,1,Emperical,Emperical,Simulated,Age-structured population model,Fishery,blackspot emperor (Lethrinus harak),Reef fish,Target,permanet reserve (current management regime); Open access (unrestricted fishing); Minimum size limit (fish won't be allowed to capture below 23cm); rotational closure,Rotational closure; Nonspatial strategy,/,Fisheries management/Fishing income,Population size; Spawning potential; age composition; sex ratio,Fisheries management,"Spawner biomass: only scenario 1 remained stable, all others dropped significantly after fishing is allowed; Total abundance & sex ratio: similar trend as spawner biomass, less prominent; Age structure: older age classes for the 2) - 4) management scenarios were severely truncated or removed entirely after the corresponding regulation regime was introduced for 10 years",Rotational closure offers no long term benefits to fish populations and fisheries (compared with static closure),Negative
014-GAM-09,doi: 10.1111/j.1461-0248.2009.01384.x,Game E,2009,"Edward T. Game, Michael Bode, Eve McDonald-Madden, Hedley S. Grantham and Hugh P. Possingham",/,/,1,Simulated,Simulated,Simulated,The linear recovery model; The asymptonic recovery model; The logistic recovery model,Fishery,Herbivore fish,Reef fish,Target,"static MPA (with three recovery models); rotational MPA (with three recovery models) - Full rotational strategy; rotational MPA - Subset rotational strategy (in a system of 100 reefs, rotating 10 MPAs between only 20 reefs, leaving the remaining 80 reefs unprotected)",Rotational closure,/,Fisheries management/Fishing income,Mean biomass,Fisheries management/Fishing income,"For full rotational strategy (Based on paramerized data from a real case study): 1) Linear model: 76.1% of the system needs to be protected before the mean biomass is greater than with static protection;2) asymptotic model: a rotational strategy never outperforms static protection;3) Logitic recovery model: 38.5% or more of the system needs to be protected for rotational MPA to work better than static MPA;For subset rotational strategy: rotational closure always delivers a mean herviore biomass equal to or higher than static strategy, regardless of the amount of protection available, or the function form of biomass recovery","the subset rotational strategy consistently outperformed the static MPA strategy for reef herbivove fish-Additionally, while the subset rotational strategy was consistently the best strategy, the optimal subset size varied with the population recovery trajector. Both static and dynamic strategies could conceivably encourage spill-over benefits to unprotected reefs, but the high herbivore biomass and preponderance of large fish associated with the static MPA strategy is likely to generate higher spill-over rates than rotational closures.",
036-WOO-18,doi:10.1093/icesjms/fsx152,Woods P,2018,"Pamela J. Woods, Bjarkiþor Elvarsson, Thorsteinn Sigurdsson, and Gunnar Stefansson",Iceland,Europe,1,Emperical,Emperical,Emperical,ARIMA time-series models with a matrix of external regressors,Ecological,Atlantic cod; haddock (Melanogrammus aeglefinus); herring; saithe (Pollachius virens),Pelagic fish,Target,/,Dynamic/Triggered closure,Test whether the RTCs work effectively: Test for a relationship between the numbers of RTCs and catch levels (adjusted by biomass) or selectivity-at-age-estimates (calculated from fishing mortalities) for the yougest age class possible of each species,Fisheries management/Fishing income,catch (adjusted by biomass); selectivity at-age estimates (calculated from fishing mortalities),Fisheries management/Fishing income,"We found that two of the four species, haddock and herring, showed evidence of ecological effectiveness through a reduction in selectivity estimates and catch of entry-aged fish in years with greater numbers of RTCs. However, this effect was only detectable as an interaction with effort in both herring models and the haddock catch model, indicating that the reduction in small-fish susceptibility and catch is only detectable in high-effort years. Cod, on the other hand, only showed a positive relationship, affirming that the RTCs were being triggered properly. No effect was detected for saithe.","RTCs work for some species, and it seems that it depends a lot on their biological and ecological characteristics. ""We can only speculate why certain species exhibit effects of the RTC system while others do not. There are a variety of potential biological mechanisms that can lead to differences in how effective an RTC system may be in reducing mortality. How aggregated a species age class is, or whether it schools, can cause a species age class to be more or less susceptible to fishing gear, and therefore how sensitive selectivity patterns are to slightly different fishing practices. Similarly, if a species is more likely to mix with other species or age classes, the probability of initiating triggers may differ among species, and their effectiveness may be reduced.""",
023-CAR-19,doi:10.1111/1365-2664.13417,Carvolho P,2019,"Paul G. Carvalho, Stacy D. Jupiter, Fraser A. Januchowski-Hartley, Jordan Goetze, Joachim Claudet, Rebecca Weeks, Austin Humphries, Crow White",/,/,1,Simulated,Simulated,Simulated,Bioeconomic model,Economic,coral reef finfish (those in families Acanthuridae and Labridae),Reef fish,Target,Periodic closure: with 30% closure of total management area (with moderate resiliant target fish) and 0%-50% sensitivity analysis (with growth rate ranging from 0.1 low to 0.5 high). The range of harvest cycles ranging from 1-10 years open to 1-10 years closed; permanent closure: one patch will permanently be closed; nonspatial strategy: both patches will be permanently opened,Periodic closure; Nonspatial strategy,"Find the best management options: identify optimal periodic closure designs for maximizing efficiency, yield and stock and; compare these optimized levels of efficiency, yield and stock with the maximum levels achievable with permanent closures and nonspatial fisheries management",Fisheries management/Fishing income,Harvest efficiency (quantify as CPUE); Fishery yield; Stock abundance,Fisheries management/Fishing income,"1)For well-managed fishery (0% overfishing), periodic closure (typically within a closure period between 1-2 years) acheives greater harvest efficency and same levels of stock abundance and fishery yield as permanent and nonspatial management strategies;2) For moderate overfishing stock (30% overfishing), there's a trade-off between periodic and permanent closure. Periodic closure could maximize harvest efficiency but permanent closure works better in maximizing stock abundance and fishery yield (extending the closure period of periodic closure will make it more similar to permanent closure);3) Extreme fishing case (65% overfishing), harvest efficiency was equivalent between periodic and permanent closures, but yeild and stock were greater for permanent closures (At 55% overfishing and greater permanent closures were able to simultaneously maximize yield, stock abundance and harvest efficiency)","periodic closure works effectively over permanent closure/non-spatial management strategies within well-managed and moderate overfishing stocks (<55%). For extreme overfishing stocks (>55%), permanent fishery closure works better",
034-HAZ-18,doi:10.1126/sciadv.aar3001,Hazen E,2018,"Elliott L. Hazen, Kylie L. Scales, Sara M. Maxwell, Dana K. Briscoe, Heather Welch, Steven J. Bograd, Helen Bailey, Scott R. Benson, Tomo Eguchi, Heidi Dewar,Suzy Kohin, Daniel P. Costa, Larry B. Crowder, Rebecca L. Lewison",U.S. (California),North America,1,Empirical,Emperical,Simulated,Species distribution model (EcoCast),Ecological,"3 bycatch species: California sea lion, Leatherback turtle, and blue shark;1 target species: Swordfish",Pelagic fish; Marine mammals/Sea turtles/Seabirds; Sharks,Both,/,Dynamic/Triggered closure,Create an automatable tool to predict daily catch and bycatch probability manage species bycatch in California drift gillnet fishery; Assess the efficiency of the tool by comparing its potential for mitigating bycatch relative to the existing static time-area closure (PLCA),Ecosystem/Conservation; Fisheries management/Fishing income,"Habitat suitability of the 3 bycatch species and 1 target species, combined into 1 prediction layer weighted by the management risk",Ecosystem/Conservation,"Suitable habitat for the target species, swordfish, was more broadly distributed across the area of operation of the fishery than for nontarget species, highlighting an ability to occupy a broad ecological niche, resulting in multiple fishable regions with low bycatch risk. Results suggest that interannual variability can be as important as seasonal variability when designing dynamic management approaches. The PLCA  (static closure) is well placed for reducing leatherback turtle bycatch; however, it also greatly reduces fishing opportunity compared to dynamic closures.","Our analyses suggest that dynamic ocean management can support effective bycatch reduction while maintaining fishing opportunity, thereby allowing fisheries managers to meet dual objectives of ecological and economic sustainability",
035-PON-22,doi: 10.1073/pnas.2114508119,Pons M,2022,"Maite Pons, Jordan T. Watson, Daniel Ovando, Sandra Andraka, Stephanie Brodie, Andres Domingo, Mark Fitchett, Rodrigo Forselledo, Martin Hall, Elliott L. Hazend, Jason E. Jannot, Miguel Herrera, Sebastian Jimenez, David M. Kaplan, Sven Kerwath, Jon Lopez, Jon McVeigh, Lucas Pacheco,Liliana Rendon, Kate Richerson, Rodrigo Sant’Ana, Rishi Sharma, James A. Smith, Kayleigh Somers, and Ray Hilborn",/,/,1,Emperical,Emperical,Simulated,NA (Simulation model),Management,"Varies, 15 fisheries worldwide",Pelagic fish,Both,Dynamic mosaic - change in time and space (mosaic rather than centroid); Static mosaic - no change in time and space (mosaic rather than centroid); Static centroid - no change in time and space (centroid rather than mosaic); Dynamic centroid - change in time and space (centroid rather than mosaic),Dynamic/Triggered closure,"How effective are static no-take areas and temporal closures in reducing bycatch compared to dynamic time and area closures; What are the trade-offs among bycatch reductions, change in fishing effort, and target species catch under static versus dynamic closures; How much reduction in bycatch would be acheived by closing 30% fishing areas under dynamic or static scenarios",Ecosystem/Conservation; Fisheries management/Fishing income,Bycatch amounts (bycatch species); Catch amounts (target species),Fisheries management/Fishing income; Ecosystem/Conservation,"bycatch (summed across all species) declined as more of the area or time was closed. A static closed area around a centroid, which is analogous to permanent no-take areas, resulted in a greater reduction in bycatch than temporal closures. With a static closure of 30% of the total fishing zone (assuming that fishing effort is displaced but fishing efficiency remains the same), bycatch was reduced by 17%. If we assume constant catch and constant fishing efficiency, the decrease in bycatch was 20% on average. With constant catch but reduced fishing efficiency, bycatch was reduced by only 10%. Bycatch reduction was much higher (∼28% on average) if the centroid closure was allowed to be dynamic in both space and time (i.e., moves from year to year). Mosaic designs were more effective than centroid designs in reducing bycatch (50% compared to 22% on average for all scenarios; SI Appendix, Table S2), and dynamic management, in which those areas can move year to year (Fig. 2), was more effective than static management approaches (48% compared to 29% on average for all scenarios","Temporal closure scenarios were generally less effective for bycatch mitigation than spatial closures, though they still had efficacy under certain conditions. Temporal closures have been promoted to protect migratory routes for highly migratory and endangered species (14, 39) or to protect a specific life history stage of a population. For example, temporal closures may be particularly effective for protecting vulnerable life stages in single-species management, especially when the biology and ecology of all life history stages are known",
027-DUN-16,doi: 10.1073/pnas.1513626113,Dunn D,2016,"Daniel C. Dunn, Sara M. Maxwell, Andre M. Boustany, and Patrick N. Halpin",U.S. (Northeast),North America,1,Emperical,Emperical,Simulated,NA (Simulation model),Management,discards (bycatch) of juvenile Atlantic cod,Pelagic fish,Bycatch,seasonal full-fishery closures; static annual time-area closures; monthly time-area closures; daily gird-based hotspot closures; weekly grid-based hotspot closures; real-time closures based on move-on rules,Dynamic/Triggered closure,"Compare the efficacy and efficiency of dynmaic measures (grid-based ""hot-spot"" measures and move-on rules) to optimized static monthly and annual closures developed through the use of spatial conservation prioritization tool (i.e., Marxan). In doing so, we attempt to address both the empirical evidence gap for the increased efficiency of dynamic management over static management, as well as attempt to further the ecological theory underpinning dynamic management.",Ecosystem/Conservation; Fisheries management/Fishing income,percent bycatch reduction acheived by weight; the percent target catch affected by weight; bycatch reduction efficiency; percentage of the time and area closed to fishing required to achieve the bycatch reduction (SUM),Fisheries management/Fishing income; Ecosystem/Conservation,Table 1,"As the spatial and temporal resolution of the closures used increases (i.e., as more targeted closures are used), (i) the percentage of target catch affected decreases, (ii) the reduction ratio (bycatch/catch) increases, (iii) the total time–area required to achieve the target bycatch reduction decreases, and (iv) the overall SUM increases.",
026-VAN-13,doi: 10.1371/journal.pone.0064641,Wynsberge S,2013,"Simon Van Wynsberge, Serge Andre´foue¨ t, Antoine Gilbert, Arse`ne Stein, Georges Remoissenet","Austral Archipelago (Tubuai and Raivavae), French Polynesia",Oceania,1,Empirical,Emperical,Simulated,Deterministic Viable Population Analysis (VPA) and spatially-explicit age-based population model,Fishery,"Giant clam, Tridacna maxima",Invertebrates,Target,No-take areas; Rotating closures; Size limits of catch; Restocking; Quotas,Rotational closure; Nonspatial strategy,Which direct or indirect management scenario could best slow down the stock decline of the giant clam,Fisheries management/Fishing income,spawning biomass,Fisheries management/Fishing income,"only closing off a few specific areas to fishing had positive effects on stock abundance. Scenarios also showed that closing cells actually slightly negatively impacted the regional stock for 86% of cells. A network of three 8 km2-NTAs could, however, slow down the decline of stocks for the unstructured population model. Surprisingly, protecting wider areas, through rotating closures or wide NTAs for the cell structure population model led to dramatic negative effects on overall stock size. Restocking was efficient only when a very large number of giant clams were reintroduced. With no other management action but restocking, a reintroduction of at least 5,000 individuals per cell and per year is needed to slow stock decline by 50% when compared with stock evolution without any management actions; Banning giant clam fishing for specific size classes have various outcomes; Limiting giant clam harvest through fixed quotas appeared to be the most efficient action to sustain the resources","Closing local areas to fishing can actually negatively impact the stock of the fishery of the island, there has to be precaution on how this management tools are used and also there are a some model assumptions and precautions described in the paper",
060-SMI-21,doi: 10.3389/fmars.2021.630607,Smith J,2021,"James A. Smith, Desiree Tommasi, Heather Welch, Elliott L. Hazen, Jonathan Sweeney, Stephanie Brodie, Barbara Muhling, Stephen M. Stohs, and Michael G. Jacox",U.S. (California),North America,1,Simulated,Emperical,Simulated,Management strategy evaluation,Management,"Target species: swordfish; Bycatch species: leatherback sea turtle, blue shark",Pelagic fish; Marine mammals/Sea turtles/Seabirds; Sharks,Both,No closure strategy; 3 scenarios of static closures; 5 scenarios of dynamic closures,Dynamic/Triggered closure,"Quantifying the trade-off between bycatch avoidance and economic considerations such as target species catch and trip-level profit; exploring sensitivity of closure performance to the dynamism of species'distribution and the size of an observer program; Quantifying the magnitude of variation in simulated catches due to interannual ocean variability, and to stochastic elements such as the location of fishing and bycatch observation; Identifying more generally the conditions under which time-area closures and the subsequent redistribution of fishing effort are likely to be effective tools for bycatch mitigation",Ecosystem/Conservation; Fisheries management/Fishing income,Swordfish catch; Blue shark and leatherback turtle bycatch; Number of leatherback turtles per 100 swordfish; Mean partial profit per trip; Mean distance traveled per trip; Area open; Missed sets; Vessels 'traveled too far' reducing the duration available for fishing; Shared fishing location; Clump threshold not reached,Fisheries management/Fishing income; Ecosystem/conservation,Dynamic closures were found to be effective: They reduced bycatch (leatherbacks) relative to target species catch (swordfish); They were the only approach that lowered bycatch risk based on leatherback turtle distribution influenced by dynamic ocean conditions;They rarely resulted in reduced fishing efforts; They maintained a spatial distribution of fishing effort similar to scenarios with no closures.,"it was not possible (even with perfect information) to eliminate the bycatch of a broadly distributed species using spatial management that involves the redistribution of fishing effort. This was because there were few locations where risk of bycatch was zero. This result highlights that spatial management is only one tool for bycatch reduction, and for rarely encountered and/or widely distributed species may be most useful when used together with other bycatch mitigation approaches.",
062-MUN-21,doi: 10.1016/j.ocecoaman.2021.105736,Munehara M,2021,"Masami Munehara, Methee Kaewnern, Pavarot Noranarttragoon,Takashi Fritz Matsuishi",/,/,1,Simulated,Simulated,Simulated,Management strategy evaluation,Management,/,/,/,/,Dynamic/Triggered closure,"prove the efficiency of RTC to respond to uncertainties in the predicted areas and periods of migratory species, and to propose quantitative information to justify a change to RTC from FC on the basis of simple simulations for general migratory species",Fisheries management/Fishing income,Performance index: proportion of individuals (fish) passing through the fishing ground during the closure period out of the total number of the individuals on the line,Fisheries management,/,"study proved the effectiveness of RTC to respond to uncertainties in the appearance time of migratory species, and clarified the scale of uncertainties at which RTC is more effective than FC. This study proposed quantitative information to compare FC with RTC. The practical use of RTC is still limited.It will be difficultto use RTC to manage fisheries that lack a reliable data collection scheme, because there are no methods to evaluate RTC in advance. However, RTC might be more useful for data-limited fisheries for which there are insufficient long term catch data to formulate an effective FC",
